Здание,Игрок 1,Игрок 2
Центральный резервуар,Hangman,Николаевна
Водоочистительный центр 1,ATAMAN,Регмант
Водоочистительный центр 2,NiSk90,Алёёч4а
Водообрабатывающий завод 1,Дорогая,Кристина
Водообрабатывающий завод 2,Laki | Boss,Катичка
Водообрабатывающий завод 3,Юлий,Rain
Водообрабатывающий завод 4,Химера,Лена28
Военный завод,--Persej--,Kafka
Солнечная электростанция,Laki | Boss,Алёёч4а
